X,Y,id,ship_name
120.2077942,22.607847,1,Angel
120.2184904,22.6040759,2,Ocean Phoenix
120.2127162,22.59284586,3,Shandong Peng Cheng
120.2240319,22.59565704,4,Alcmene
120.2221709,22.61133894,5,Tohozan Maru No.5
120.2279157,22.61371669,6,Lan Bao Jian Ni
120.2229153,22.62696696,7,Aton F
120.2391849,22.63462425,8,Bao Shun
120.2361778,22.61244823,9,Grace
120.2345518,22.60151694,10,Hong Xing
120.2315643,22.5972365,11,Showa Maru
120.2214705,22.58502206,12,Sinar Tondanc
120.2283418,22.58751,13,Hua Yun
120.2380878,22.58775488,14,King Yun
120.2382054,22.57608406,15,Oslo
120.2505178,22.57365489,16,Sh Mariner2
120.2416532,22.60468564,17,Wakayoshi Maru
120.2456202,22.61047452,18,Fu Shun
120.2519674,22.62962387,19,Shun Fa Xing
120.2619388,22.61750738,20,Ta Yang
120.2531526,22.60872121,21,Salvage Ace
120.2506696,22.59962159,22,Glory Honor
120.2577024,22.60296171,23,Chang Chuan
120.2616107,22.59557623,24,M Ida S
120.2598672,22.58786752,25,Leona No.2
120.2556749,22.58547753,26,Xin Jin Cheng
120.2626685,22.57754353,27,Zhejiaoxun0248
